Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_AU,w_CH,w_EM,w_EU,w_JP,w_UK,w_US
2008-08-31,0.08092129213597571,0.08092129213597571,-0.01350476264793432,1.1539195853042838,0.0,0.0013,-0.8824350102233771,-0.18350627872310224,0.0,0.9093351117927435,0.19116316879047907,-0.5328782613910629,0.5792425618902954
2008-09-30,0.048223533828726184,0.048223533828726184,-0.11846789781273004,0.0697338702840616,0.0,0.0015,-0.8084718775781942,-0.17110768117092898,0.0,0.838750495263096,0.17850620787539406,-0.5126357192677968,0.5231821087071562
2008-10-31,0.11914828899313926,0.11914828899313926,-0.18933973784097713,0.05610485375592768,0.0,0.0008,-0.734468727783066,-0.1676954718528213,0.0,0.783846614924446,0.18672737235504502,-0.471707647913261,0.5224461492627964
2008-11-30,0.04677604680246142,0.04677604680246142,-0.06394059877426561,0.5836638430693167,0.0,0.0003,-0.4262934684653995,-0.13806658503911948,0.0,0.43242904147038985,0.14865572616532102,-0.6918069083270124,0.7218582409982818
2008-12-31,0.06478367264745204,0.06478367264745204,0.03258936916813693,0.29780884501482047,0.0,0.0,-0.45196533656281684,-0.1584087440923867,0.0,0.7724173340291323,0.14745918506794,-0.665553357722287,0.4208345919278703
2009-01-31,0.017498624384570165,0.017498624384570165,-0.08730113673050555,0.32546752277629176,0.0,0.0,-0.6041725990078457,-0.12261370776878051,0.0,0.6094055063485064,0.13377807890017177,-0.3970634656090628,0.39816481152158095
2009-02-28,-0.03684689493974755,-0.03684689493974755,-0.10159760210629931,0.7767403978504308,0.0,0.0001,-0.39400017032626594,0.03536736467708608,0.0,0.6701053513628014,0.4271193177759077,-0.5971686756724137,-0.17827008275686318
2009-03-31,-0.021252502896838565,-0.021252502896838565,0.07615713944271807,0.3500197596285271,0.0,0.0002,-0.4206918072842612,0.1326309748578757,0.0,0.40587010025893816,0.6372229324735793,-0.6469548849688377,-0.12932981823413284
2009-04-30,-0.038542885472095625,-0.038542885472095625,0.11324564009729876,0.3397774585481589,0.0,0.0001,-0.40032141559684736,0.03454754786701956,0.0,0.656394129888814,0.45112589638061656,-0.607304109568597,-0.17298493444310148
2009-05-31,0.0013434261377528248,0.0013434261377528248,0.09185675718646058,0.6012811426976212,0.0,0.0,-0.14094397876451004,0.40827234963786896,0.0,0.6817064721404508,0.13173995943263594,-0.6972632997529309,-0.3821680765557619
2009-06-30,-0.023505319687604755,-0.023505319687604755,-0.0040197378708376474,0.17775864695079047,0.0,0.0001,-0.14838668344575173,0.2889371820961484,0.0,0.7291344659169628,0.07272763964463488,-0.5981879734223856,-0.3677299504772133
2009-07-31,0.0029436681895239417,0.0029436681895239417,0.08503109556755106,0.3781178375940768,0.0,0.0001,-0.17611493946199236,0.03444686389852471,0.0,0.6543257894750121,0.4483579012012003,-0.5851998969885733,-0.3728720499346474
2009-08-31,0.018227469673563083,0.018227469673563083,0.041814216867368525,0.7515286093321983,0.0,0.0001,-0.20170827496663685,0.603037603744749,0.0,0.40074062996705717,0.20256919897379522,-0.3885004616032383,-0.5979112264421631
2009-09-30,0.03698846285041855,0.03698846285041855,0.040222053001574665,0.34777270647842035,0.0,0.0001,-0.03559919851473226,0.5896861995524041,0.0,0.17338177950529385,0.3877218716557464,-0.4331143876155793,-0.6450878017327145
2009-10-31,-0.009037925886878583,-0.009037925886878583,-0.017553967719263652,0.03084097328887636,0.0,0.0,-0.034139493701762745,0.5734867323451587,0.0,0.16798932399810326,0.365832772510352,-0.44728401557413944,-0.6349232454645907
2009-11-30,0.006658406091927904,0.006658406091927904,0.04145071138963807,0.7313841528552263,0.0,0.0,0.07371999686572009,0.7368849738320151,0.0,0.2944594204814687,-0.3764282374332953,-0.14432587981168504,-0.5776518678422955
2009-12-31,0.0025359560472299906,0.0025359560472299906,0.018300893397894757,0.37505749117466314,0.0,0.0001,0.4333853331306001,0.6265043028146954,0.0,0.032366190216078436,-0.3464780415132181,-0.16679243228226476,-0.5764493963186612
2010-01-31,-0.03209212522082084,-0.03209212522082084,-0.04113383464488407,0.26330687592969526,0.0,0.0,0.36024989646565764,0.5686911005273136,0.0,0.1412494235088351,-0.3005926882358566,-0.07213857190902337,-0.7295512855777468
2010-02-28,-0.031223455993712082,-0.031223455993712082,0.014578066110316312,1.1763253470468653,0.0,0.0,0.1984851947671512,0.38593581296875634,0.0,-0.38416919245366354,-0.5948547691610524,0.558720273970349,-0.1953407760852526
2010-03-31,0.04310568507002938,0.04310568507002938,0.06259140646105377,0.14718282734209015,0.0,0.0001,0.1672971185244036,0.3645367647385222,0.0,-0.41936599798638713,-0.5882702097006914,0.5514542302404885,-0.03254622074630656
2010-04-30,0.011900270016942143,0.011900270016942143,0.0006613133264841142,0.31043770145720107,0.0,0.0001,0.377202198872401,0.18242751258227574,0.0,-0.36711423344184047,-0.5571339781003075,0.5630628667456163,-0.18654409664120283
2010-05-31,-0.0175222963917492,-0.0175222963917492,-0.09483964571368098,0.5653442050135976,0.0,0.0001,0.1712114739288449,-0.1738601718203014,0.0,-0.3451021455606985,-0.5750183611512015,0.5323969348476837,0.37284997336392367
2010-06-30,-0.013497679988956159,-0.013497679988956159,-0.033732754494871675,0.04745113272213103,0.0,0.0001,0.18431785843493445,-0.19796376478535327,0.0,-0.3674431736684279,-0.5719137571180127,0.5699005000612379,0.36960465708666534
2010-07-31,-0.0010336870836930995,-0.0010336870836930995,0.08137651794092315,0.02699034219018219,0.0,0.0001,0.19863996038448953,-0.19032893762024503,0.0,-0.3924929230931096,-0.5645234102604745,0.5796024536462935,0.3680691698593529
2010-08-31,-0.02279489925607637,-0.02279489925607637,-0.03682114156080951,0.04240250310486024,0.0,0.0001,0.18203905197722578,-0.18874054724382405,0.0,-0.35769108889642237,-0.5669236068500298,0.5403429145230895,0.3681783772338847
2010-09-30,-0.008892288807148527,-0.008892288807148527,0.09371618956713901,0.12074734962190274,0.0,0.0001,0.22215323798884246,-0.21047100587001097,0.0,-0.438249718560032,-0.616040864381042,0.6261476810203804,0.4075683809947136
2010-10-31,-0.016846765670182617,-0.016846765670182617,0.037526268351718794,0.03861039781261098,0.0,0.0001,0.2172603939611704,-0.2128395687084765,0.0,-0.4355553869733089,-0.6631467213994618,0.6517525936690627,0.42568192378083153
2010-11-30,0.03603401085230622,0.03603401085230622,-0.02102918749571281,0.0180603194439444,0.0,0.0001,0.21085393379389003,-0.210931274797483,0.0,-0.40137287346393163,-0.6210246288083037,0.6274845325861989,0.43102432154193565
2010-12-31,-0.017574098293130277,-0.017574098293130277,0.07386333423223213,0.23756604529686778,0.0,0.0001,0.22687230290557459,0.0,-0.21399309973013872,-0.43660228112891564,-0.6547211670410067,0.6373920309746958,0.4234781157266603
2011-01-31,0.011313931011440402,0.011313931011440402,0.022823856372704343,0.24221691576809568,0.0,0.0001,0.20636891317190703,-0.20880678630054597,0.0,-0.43151365610435855,-0.6254913690856733,0.6490317961359511,0.42172503319416005
2011-02-28,0.003605856493792085,0.003605856493792085,0.03555554140297201,1.2689656804845375,0.0,0.0001,0.21628096326056814,-0.21441542304145852,-0.42335485354080515,-0.6385483458680925,0.6350563293378327,0.4285871863457473,0.0
2011-03-31,-0.034270192440129105,-0.034270192440129105,-0.009306559794327374,0.22193105463683657,0.0,0.0001,0.2189973418628582,-0.4347224659193985,-0.2154556441087574,-0.662036518569068,0.634685717960306,0.42426137633393046,0.0
2011-04-30,-0.011328920683949618,-0.011328920683949618,0.04295455297512851,0.034661131361737776,0.0,0.0,0.22395489624292553,-0.4461587772051619,-0.21272294696466423,-0.6594667755883834,0.6449780053431625,0.4380866774881718,0.0
2011-05-31,0.01369730926063282,0.01369730926063282,-0.01963673228133167,1.0999610924515706,0.0,0.0,0.0,0.42566663438811736,-0.6276983835936079,-0.40883261704295853,0.6277326364936101,0.20690243681973502,-0.21007339780426318
2011-06-30,0.00617227415876686,0.00617227415876686,-0.015369907274990324,0.2146763933890833,0.0,0.0,0.0,0.4290899003191567,-0.6349542144659919,-0.21292097948630995,0.6411569845017673,0.20622071330958025,-0.42242013001943557
2011-07-31,0.06534229573357625,0.06534229573357625,-0.017841431825199483,0.21928555378923875,0.0,0.0,0.0,0.45414681619092173,-0.6402124186622671,-0.4219275936719459,0.6683197275253536,0.21732200479535682,-0.2123062404438429
2011-08-31,-0.009743659603837058,-0.009743659603837058,-0.06991438955532248,0.5060617648436723,0.0,0.0001,-0.39178608851365104,0.390243286448795,-0.607760404836057,-0.19999403044445965,0.6013718574134954,0.1981817203280402,0.0
2011-09-30,0.008383324808171033,0.008383324808171033,-0.08583053817391872,0.04374140769490205,0.0,0.0,-0.3740268269395571,0.3660173066769822,-0.6053636366241879,-0.1923703053410359,0.6161157938457898,0.19801099319017978,0.0
2011-10-31,-0.04594097108783572,-0.04594097108783572,0.10372466056979146,0.08060589080185755,0.0,0.0,-0.45837296880610934,0.4335029953777254,-0.6393087692143313,-0.21684525498597831,0.6188314121862784,0.21625161435457949,0.0
2011-11-30,0.00463041964721328,0.00463041964721328,-0.023792429260518166,1.1470175978692587,0.0,0.0,-0.44487224592738495,0.43568859555241546,0.0,0.2202679379224889,0.6853291356341669,-0.6648341290417826,-0.22694887449269036
2011-12-31,0.0028649376554869457,0.0028649376554869457,-0.000172542670917597,0.28805427937616307,0.0,0.0,-0.4672812293592726,0.4555504525313148,0.23629846040126,0.0,0.7091275065859131,-0.6963707857138718,-0.23445946678985646
2012-01-31,-0.015316976054811969,-0.015316976054811969,0.05047694702786787,0.7655546563313872,0.0,0.0,-0.7932162222446655,0.7749702725498766,0.25564926760025003,0.0,0.5104893667888456,-0.2568094509342211,-0.5064002098148978
2012-02-29,0.06565117735295911,0.06565117735295911,0.04954783716221334,1.8018091087490213,0.0,0.0,0.5168619354911321,0.7776993007450794,0.0,0.25960728063510113,-0.7185441677154778,-0.5150475894444436,-0.2549255823584321
2012-03-31,0.0047020089382253894,0.0047020089382253894,0.013473604552079799,0.560867484738604,0.0,0.0,0.23405559674455176,0.7271417736987039,0.4827653868061705,0.0,-0.7105954090349555,-0.48673406353549387,-0.24193127574075132
2012-04-30,-0.039291464545194554,-0.039291464545194554,-0.010814283325261131,0.25561494126096806,0.0,0.0,0.0,0.7273160262413867,0.4892279313588436,0.2419293749366031,-0.759197483691728,-0.49470546384084507,-0.24386184954945497
2012-05-31,-0.05605531399261872,-0.05605531399261872,-0.08529178665397297,0.7479573144244389,0.0,0.0001,0.6880308256705867,0.0,0.4854699553168664,0.228665692275235,-0.7485584040423434,-0.4648059777530536,-0.2448574054599099
2012-06-30,0.04927505053519382,0.04927505053519382,0.051469591691896355,0.04869163456012218,0.0,0.0,0.7377194032189741,0.0,0.4674571647906009,0.23879293927711576,-0.6860909637341136,-0.47547224817881634,-0.23313124483856706
2012-07-31,-0.007088793289159186,-0.007088793289159186,0.013132389373181175,0.27456950342498104,0.0,0.0,0.4645857961649873,0.0,0.6772348422537187,0.21924473113067977,-0.691649812329097,-0.45073591257494383,-0.225768437934504
2012-08-31,-0.005578173404703608,-0.005578173404703608,0.0259882933652551,0.46886068455383767,0.0,0.0001,0.4447828089176447,0.0,0.6799855170756052,0.23056360560989392,-0.22475640757964713,-0.6849426091621411,-0.45121108826605916
2012-09-30,0.0011934980130790147,0.0011934980130790147,0.02797679416740184,0.2355451797017743,0.0,0.0001,0.45763320221039255,0.0,0.6887930250838725,0.23194951733950048,-0.45639265753020825,-0.6938406941213026,-0.22694889496917572
2012-10-31,0.029716136713541147,0.029716136713541147,-0.006462394477743549,0.706967695138074,0.0,0.0001,0.23395517177751413,0.0,0.7086448791987073,0.4701220474902079,-0.6835777418823117,-0.232791822653774,-0.4666363972168025
2012-11-30,0.008200950034937962,0.008200950034937962,0.013671400231141106,0.9352333961134837,0.0,0.0001,0.23155191357990498,-0.691706928002279,0.6941379786570878,0.46047510343917997,0.0,-0.45641830629655467,-0.2298388113424012
2012-12-31,0.017900523173213355,0.017900523173213355,0.019349727620516344,0.4630084836436056,0.0,0.0001,0.22956412899906592,-0.6984826679040462,0.6901798475562099,0.46669487838481455,-0.43681055567042343,-0.23324510819240749,0.0
2013-01-31,0.02462938311324374,0.02462938311324374,0.051249936803956286,0.4588003283276338,0.0,0.0,0.22970593023095937,-0.6890885724050798,0.6881022188222266,0.470203568931458,0.0,-0.4458127101885062,-0.22848105227781415
2013-02-28,0.020547935260699535,0.020547935260699535,0.0022423719505926254,1.375697026428022,0.0,0.0,-0.679820555601888,-0.44823001721261335,0.46153128429607976,0.2218660809341687,0.6859090626747408,-0.2207079198297883,0.0
2013-03-31,-0.031625599811132166,-0.031625599811132166,0.024104585258702294,0.7306867811329463,0.0,0.0,-0.7194916302013667,-0.46271712780039176,-0.2357333956810884,0.4605077546300133,0.6912287930280818,0.0,0.23458000621361963
2013-04-30,-0.022713148509248833,-0.022713148509248833,0.032085630617879835,0.5043833894323824,0.0,0.0,-0.7150006995120151,-0.487969901327699,0.24087013164745397,0.4907174032774472,0.6928719164266474,-0.24420199902108325,0.0
2013-05-31,0.04641874741446976,0.04641874741446976,0.0013263058609005451,0.495412140949251,0.0,0.0,-0.6592330138013199,-0.23102676784063172,0.4764799014587692,0.23444560311960264,0.6907148164504461,-0.46496179197239645,0.0
2013-06-30,0.03811119165559037,0.03811119165559037,-0.02421388146936021,0.25957587491471346,0.0,0.0,-0.663298205231551,-0.23350395077892153,0.46388678787602866,0.0,0.7026392303327227,-0.46267243338545244,0.23105976284276408
2013-07-31,0.016136281302449876,0.016136281302449876,0.05309084726735125,0.6847979889955037,0.0,0.0,-0.4478316225396682,-0.2317996349589901,0.0,0.23235929547699444,0.6905694822531079,-0.6817347666122622,0.45457352768326803
2013-08-31,-0.008095422558718625,-0.008095422558718625,-0.020754631929659206,1.8121014668339919,0.0,0.0,0.6754640492353182,-0.45157644234779326,0.0,0.4506401558034416,-0.6781433524697471,-0.2311863909068958,0.2267065581269578
2013-09-30,0.0165537542624632,0.0165537542624632,0.05056020918098314,0.4651570830335438,0.0,0.0,0.48150875769858487,-0.47172024001416396,0.23002012511870387,0.7044766030207517,-0.6880252594778511,-0.2397062320835621,0.0
2013-10-31,0.014899098341854043,0.014899098341854043,0.039451676616607756,0.2601648159385379,0.0,0.0,0.46740724730248434,-0.45838249287180866,0.0,0.6921561161083665,-0.6882964911975206,-0.2277545476448775,0.22976926664520989
2013-11-30,0.04934761896699136,0.04934761896699136,0.01832016986560303,1.6216009605170199,0.0,0.0,-0.22347383493427359,0.0,-0.46408486639608704,0.23166104399770202,-0.6669005110898683,0.7090323323996718,0.46311345498984663
2013-12-31,0.03480906091400443,0.03480906091400443,0.021571458322364068,0.4887586758795828,0.0,0.0,-0.4481002475855628,-0.2316966827163288,0.0,0.23095123712731042,-0.6663829417508703,0.6932483135886448,0.45678938225081117
2014-01-31,-0.0137630779529646,-0.0137630779529646,-0.03671169826396692,0.4769391190698839,0.0,0.0,-0.44836051000470106,-0.22440365931561002,0.457596080296181,0.0,-0.7052105702151973,0.67877767538981,0.2278379058965529
2014-02-28,-0.0071583212460936355,-0.0071583212460936355,0.05067748013840356,0.690761118333332,0.0,0.0,-0.23105978761070764,0.0,0.2233625689877841,-0.4631679809634142,-0.6804895497391357,0.6916294299580422,0.45256699812133755
2014-03-31,-0.00790908308871001,-0.00790908308871001,0.002204508967721175,0.24538448272248875,0.0,0.0,-0.23468155364368395,0.0,0.444891244512044,-0.45012524284031447,-0.6671836383720743,0.6735923307603343,0.22559777649498444
2014-04-30,-0.004635358911861259,-0.004635358911861259,0.010789269863882511,0.27897810822859304,0.0,0.0,0.0,-0.2331087641942032,0.46152875962212986,-0.46744431043870033,-0.7028051933328597,0.7051387414490009,0.23205540798277113
2014-05-31,0.0002221644777947434,0.0002221644777947434,0.020720344334937302,0.4743476567107284,0.0,0.0,-0.2341311741925786,-0.4582096441446846,0.46724123855696226,0.0,-0.702188465797159,0.6944516131536873,0.23305859690156747
2014-06-30,0.007870199759591927,0.007870199759591927,0.018288139895402455,0.4750916764161401,0.0,0.0,-0.2366832654764574,-0.7058284466747604,0.4703566007461164,0.23410081061122814,-0.4682247214623229,0.7141492220157881,0.0
2014-07-31,0.01564870338604041,0.01564870338604041,-0.015615716084129705,0.016010066866004966,0.0,0.0,-0.23020781795205736,-0.6822170723795911,0.46906845937683783,0.22794063926010602,-0.45944613648458954,0.6905106315653344,0.0
2014-08-31,-0.018034504603268282,-0.018034504603268282,0.022555589966118283,1.466708607932338,0.0,0.0,-0.5073355386730463,-0.2492937341103314,0.2538421923022989,0.0,0.49745919186101994,0.7430921432221442,-0.7557987592053537
2014-09-30,-0.008585287771060716,-0.008585287771060716,-0.02661915559213912,0.2644555265852987,0.0,0.0,-0.2354758021404501,-0.4823456513071095,0.2502420087515441,0.0,0.47628261785967724,0.7353809873403688,-0.7526694482750913
2014-10-31,-0.016912645375230045,-0.016912645375230045,0.006777703785632694,0.5193204336007735,0.0,0.0,-0.2521602834446314,0.0,0.2529584345062825,-0.4959620573407909,0.4881400737086288,0.7405035618515049,-0.750392374656224
2014-11-30,-0.02854932127926241,-0.02854932127926241,0.02068095579833762,1.325169589054445,0.0,0.0,0.5132969921098272,-0.7919472224626318,0.264110429232509,-0.5266256716838048,0.0,0.7775232015246365,-0.2649070499997984
2014-12-31,0.019767119250208354,0.019767119250208354,-0.01564344976201837,0.5320919287874286,0.0,0.0,0.2500288069406211,-0.7560910705520866,0.0,-0.5043406517516149,0.5142472113115932,0.7755129764962343,-0.25959015319453876
2015-01-31,-0.0527681104335969,-0.0527681104335969,-0.017815065535336294,0.5068167448499168,0.0,0.0,0.24625257345222326,-0.5588781237942513,0.0,-0.24142318192414244,0.5268654281161314,0.750705651386002,-0.7762904576695597
2015-02-28,0.017399270664131168,0.017399270664131168,0.05915638243749055,1.7314380078792095,0.0,0.0,0.7455042944476568,-0.7126755816115695,0.4945801292426058,0.0,0.24223247958136526,-0.5056518017572948,-0.24659024923863226
2015-03-31,0.020409153177791423,0.020409153177791423,-0.014848645215165712,0.3314059785206106,0.0,0.0,0.7675537829058151,-0.7701242819703228,0.26662684446985163,0.0,0.5216844087170097,-0.5032429775010488,-0.2620886234435134
2015-04-30,-0.025553993152540432,-0.025553993152540432,0.023956317492407342,0.5358330964155461,0.0,0.0,0.8148059133804543,-0.5433479777505648,0.26188488053522163,-0.2727582365800378,0.5248400525093072,-0.8109786252469209,0.0
2015-05-31,-0.0042139997861519885,-0.0042139997861519885,0.004374360224432383,1.0796647258859937,0.0,0.0,0.7750940495313908,0.5285017441967936,0.2675925123465283,-0.5218861298643256,-0.2563741401236504,-0.7971420358728887,0.0
2015-06-30,-0.02113807653966515,-0.02113807653966515,-0.0228228248889496,0.41728007804217804,0.0,0.0,0.8755310303723699,0.5803825101144954,0.2894595623880222,-0.5863123785468067,0.0,-0.8911652602200264,-0.2890335406477194
2015-07-31,-0.051097380068764464,-0.051097380068764464,0.018305250697551623,0.05280848402556812,0.0,0.0,0.8590986506661421,0.583036475761861,0.30147293621497306,-0.5938602893799567,0.0,-0.8993867158034027,-0.30145843752838136
2015-08-31,-0.027916342804898846,-0.027916342804898846,-0.06568021561976112,0.6108017606967548,0.0,0.0,0.5610028097656891,0.8612031585449175,0.27857077187467577,-0.5869817082015248,-0.2938465356704231,-0.8478648391182333,0.0
2015-09-30,-0.0019061274723205426,-0.0019061274723205426,-0.036296212531534144,0.30586726270380943,0.0,0.0,0.5603257761966246,0.844565347347162,0.0,-0.5650742667984627,-0.28656858857313666,-0.8386746076084609,0.2835202119639532
2015-10-31,-0.00575221331956299,-0.00575221331956299,0.0795682585772115,0.29784140675698395,0.0,0.0,0.5775086243366929,0.8369248536743474,0.2865714763984466,-0.5579168876901965,-0.2815870229604388,-0.8672532570784146,0.0
2015-11-30,-0.008464586385765496,-0.008464586385765496,-0.004379764163474187,0.8891550416739389,0.0,0.0,-0.29295132712698924,0.8313429038691189,0.5705499581719629,-0.5544338723694562,0.28296817074665404,-0.8459404196770559,0.0
2015-12-31,0.01672987632999374,0.01672987632999374,-0.017156340725706043,0.048000468008866926,0.0,0.0001,-0.2916873173266991,0.8870959660677559,0.567177464963098,-0.5932417343888825,0.29530546560496346,-0.8479199685902419,0.0
2016-01-31,0.018872847496013104,0.018872847496013104,-0.059538973858199284,0.03621467696186881,0.0,0.0001,-0.28229029113603327,0.8510003152637413,0.5808454865444241,-0.5777112195799409,0.28762710666222885,-0.840598550258407,0.0
2016-02-29,0.07998355140555784,0.07998355140555784,-0.00676253110413727,1.195545832656905,0.0,0.0002,0.29571329396876045,0.899417257170095,-0.5920523218024293,-0.29388279679532814,0.6294265970125661,-0.8586384781481062,0.0
2016-03-31,0.002456088344485633,0.002456088344485633,0.06864433640322143,0.1741775918736609,0.0,0.0002,0.2882223296472687,0.8345408202862294,-0.5456777887071512,-0.2806416328378945,0.5367323789612146,-0.8307200190051814,0.0
2016-04-30,0.033608549342771875,0.033608549342771875,0.01641146814688077,0.5758573170541041,0.0,0.0001,0.27395123987583664,0.5517422102338763,-0.5498085811289545,0.0,0.8742300207048321,-0.8409877087880921,-0.27551863155472645
2016-05-31,-0.03615729870030096,-0.03615729870030096,0.006600259303734202,1.1335763105395342,0.0,0.0001,0.5251023837316635,-0.5313043050730242,-0.27164741878947435,0.2676769957850424,0.7934292298519002,-0.8194141842064087,0.0
2016-06-30,0.12908409225302153,0.12908409225302153,-0.010704717911692807,0.32246476003251956,0.0,0.0002,0.2890867211197081,-0.5701150379274236,-0.27732122789112307,0.5587069453442163,0.9014800999801614,-0.7727534083725175,0.0
2016-07-31,0.018105313054347837,0.018105313054347837,0.04254361725526312,0.4735920275778868,0.0,0.0002,0.4705337958396732,-0.46323871368867436,-0.2321537272802473,0.23166180780137913,0.6984525307491443,-0.687150380366927,0.0
2016-08-31,0.003625104976173273,0.003625104976173273,0.0014128280647713876,0.4663672118341509,0.0,0.0002,0.22817680554178602,-0.679657926776424,-0.22827908108989367,0.459450656114926,0.6811742424190294,-0.4572395912332505,0.0
2016-09-30,0.014633660845405874,0.014633660845405874,0.005790199333901125,0.7034752158507497,0.0,0.0002,0.0,-0.700322333285027,0.46332084867017886,0.23219104402474805,0.7059912565066909,-0.45563559013282506,-0.23091156493835976
2016-10-31,0.015968699437169144,0.015968699437169144,-0.019046579664470986,0.9385507286460899,0.0,0.0002,0.4592062696081351,-0.6795844393297505,-0.22822894026018337,0.0,0.6693911252856787,-0.43591212331801193,0.23109680745130123
2016-11-30,-0.06617140438070081,-0.06617140438070081,0.0150758408630991,0.2654338818124027,0.0,0.0001,0.4487712688629046,-0.6727409902130738,-0.22698373030687746,0.2224938438733155,0.6339971515522365,-0.47170894814920616,0.0
2016-12-31,-0.015765454610972608,-0.015765454610972608,0.02430890857393364,0.44633358117842925,0.0,0.0003,0.6494554256421531,-0.6622516727144663,-0.2204656565891236,0.0,0.43276155414670714,-0.43688666331497955,0.2216215582187366
2017-01-31,0.015390863287259077,0.015390863287259077,0.024399205081860664,0.45835337836363865,0.0,0.0004,0.4740044767133312,-0.6936047970077324,0.0,-0.230667944293541,0.6990156049234953,-0.45839486740965535,0.22503839036136125
2017-02-28,0.013528067903801268,0.013528067903801268,0.028305195232747327,1.3842611292107905,0.0,0.0004,-0.45417703783089197,0.0,0.22498027463361311,-0.6598653883483518,0.6741235163098405,-0.2211377203715428,0.44960442351113444
